CaptureTime, Camera1Left2D.x, Camera1Left2D.y, Camera1Right2D.x, Camera1Right2D.y, Camera2Left2D.x, Camera2Left2D.y, Camera2Right2D.x, Camera2Right2D.y, Left3D.x, Left3D.y, Left3D.z, Right3D.x, Right3D.y, Right3D.z, frameNumber
14388.607714307, 272.768188477, 253.015991211, 324.832061768, 253.063217163, 344.775726318, 252.520874023, 397.663330078, 253.066696167, -45.138954163, 12.045025826, 591.994689941, 19.692741394, 12.445075035, 590.485107422, 4868
14388.624401833, 272.972503662, 253.050750732, 325.212432861, 253.341903687, 344.861083984, 252.461105347, 397.888610840, 253.345855713, -45.044567108, 12.028622627, 591.771850586, 19.745256424, 12.446868896, 590.336975098, 4869
14388.641089359, 272.985961914, 253.257614136, 324.888061523, 253.281524658, 344.575042725, 252.599121094, 397.746520996, 253.246490479, -45.004425049, 12.050529480, 592.350158691, 19.815921783, 12.460200310, 590.451049805, 4870
14388.657776885, 272.909118652, 252.931198120, 325.284973145, 253.414352417, 344.856140137, 252.188323975, 397.479736328, 253.058700562, -44.945831299, 12.011063576, 592.241394043, 19.885801315, 12.471829414, 590.546630859, 4871
14388.674464411, 272.748474121, 253.161682129, 325.251495361, 253.173217773, 344.536468506, 252.568725586, 397.741058350, 253.364837646, -44.923034668, 12.021926880, 592.463256836, 19.949935913, 12.487201691, 590.674194336, 4872
14388.691151937, 272.770202637, 253.139038086, 324.943847656, 253.181121826, 344.835449219, 252.477157593, 397.779296875, 253.401519775, -44.884925842, 12.012639999, 592.128906250, 19.973289490, 12.494169235, 590.487304688, 4873
14388.707839463, 273.059387207, 252.787399292, 325.369934082, 252.862106323, 345.070983887, 252.194580078, 397.959228516, 252.903045654, -44.830532074, 11.993913651, 592.110290527, 20.002450943, 12.465208054, 590.244323730, 4874
14388.724526989, 272.682312012, 253.083465576, 325.183898926, 253.026351929, 344.920349121, 252.418457031, 397.835906982, 252.842010498, -44.798305511, 11.996426582, 591.733337402, 20.035015106, 12.443300247, 590.407958984, 4875
14388.741214515, 273.047454834, 252.995117188, 325.135986328, 253.130477905, 344.962097168, 252.302413940, 397.550903320, 253.335784912, -44.756175995, 11.997947693, 591.777282715, 20.064325333, 12.464982033, 590.721923828, 4876
14388.757902041, 272.757202148, 252.914428711, 325.147491455, 253.226608276, 344.880065918, 252.322143555, 398.043945312, 252.915557861, -44.737419128, 11.996223450, 591.634399414, 20.032558441, 12.442940712, 590.215820312, 4877
