CaptureTime, Camera1HeadPosition.x, Camera1HeadPosition.y, Camera1HeadPosition.z, Camera1HeadOrientation.x, Camera1HeadOrientation.y, Camera1HeadOrientation.z, Camera2HeadPosition.x, Camera2HeadPosition.y, Camera2HeadPosition.z, Camera2HeadOrientation.x, Camera2HeadOrientation.y, Camera2HeadOrientation.z, frameNumber
14389.0414, 69.8097, 44.0862, 570.1611, 0.0331, -0.0316, 0.0097, 69.8097, 44.0862, 570.1611, 0.0331, -0.0316, 0.0097, 4894
14389.0581, 70.4677, 44.2802, 569.0948, 0.0291, -0.0222, 0.0075, 70.4677, 44.2802, 569.0948, 0.0291, -0.0222, 0.0075, 4895
14389.0748, 70.1826, 44.2965, 569.3408, 0.0333, -0.0327, 0.0075, 70.1826, 44.2965, 569.3408, 0.0333, -0.0327, 0.0075, 4896
14389.0915, 70.1158, 44.3336, 569.0775, 0.0250, -0.0278, 0.0119, 70.1158, 44.3336, 569.0775, 0.0250, -0.0278, 0.0119, 4897
14389.1082, 70.5847, 44.4230, 570.9388, 0.0224, -0.0305, 0.0078, 70.5847, 44.4230, 570.9388, 0.0224, -0.0305, 0.0078, 4898
14389.1248, 70.0269, 44.5143, 570.4687, 0.0256, -0.0306, 0.0066, 70.0269, 44.5143, 570.4687, 0.0256, -0.0306, 0.0066, 4899
14389.1415, 70.5215, 44.3190, 569.8503, 0.0347, -0.0354, 0.0053, 70.5215, 44.3190, 569.8503, 0.0347, -0.0354, 0.0053, 4900
14389.1582, 70.0263, 44.0847, 569.3307, 0.0498, -0.0337, 0.0135, 70.0263, 44.0847, 569.3307, 0.0498, -0.0337, 0.0135, 4901
14389.1749, 70.1847, 44.2722, 570.5631, 0.0313, -0.0362, 0.0143, 70.1847, 44.2722, 570.5631, 0.0313, -0.0362, 0.0143, 4902
14389.1915, 70.0721, 44.2210, 570.0508, 0.0420, -0.0410, 0.0106, 70.0721, 44.2210, 570.0508, 0.0420, -0.0410, 0.0106, 4903
14389.2081, 70.5054, 44.1946, 569.5909, 0.0270, -0.0315, 0.0035, 70.5054, 44.1946, 569.5909, 0.0270, -0.0315, 0.0035, 4904
14389.2248, 70.2449, 44.3294, 570.7040, 0.0184, -0.0371, 0.0105, 70.2449, 44.3294, 570.7040, 0.0184, -0.0371, 0.0105, 4905
14389.2415, 70.2021, 44.4500, 571.1978, 0.0244, -0.0297, 0.0098, 70.2021, 44.4500, 571.1978, 0.0244, -0.0297, 0.0098, 4906
14389.2582, 70.5537, 44.3335, 571.8576, 0.0316, -0.0465, 0.0052, 70.5537, 44.3335, 571.8576, 0.0316, -0.0465, 0.0052, 4907
14389.2748, 70.1629, 44.3324, 571.5041, 0.0314, -0.0305, 0.0155, 70.1629, 44.3324, 571.5041, 0.0314, -0.0305, 0.0155, 4908
14389.2915, 70.3824, 44.3596, 570.5939, 0.0168, -0.0351, 0.0064, 70.3824, 44.3596, 570.5939, 0.0168, -0.0351, 0.0064, 4909
14389.3082, 70.2172, 43.9718, 570.6097, 0.0312, -0.0322, 0.0129, 70.2172, 43.9718, 570.6097, 0.0312, -0.0322, 0.0129, 4910
14389.3249, 70.3426, 44.2503, 570.6750, 0.0090, -0.0326, 0.0131, 70.3426, 44.2503, 570.6750, 0.0090, -0.0326, 0.0131, 4911
14389.3415, 70.3478, 44.3194, 571.8079, 0.0403, -0.0423, 0.0092, 70.3478, 44.3194, 571.8079, 0.0403, -0.0423, 0.0092, 4912
14389.3582, 70.2682, 44.5116, 572.1094, 0.0135, -0.0327, 0.0126, 70.2682, 44.5116, 572.1094, 0.0135, -0.0327, 0.0126, 4913
14389.3749, 70.1721, 44.2050, 571.7327, 0.0280, -0.0450, 0.0041, 70.1721, 44.2050, 571.7327, 0.0280, -0.0450, 0.0041, 4914
14389.3916, 70.3096, 44.0264, 571.1457, 0.0240, -0.0359, 0.0086, 70.3096, 44.0264, 571.1457, 0.0240, -0.0359, 0.0086, 4915
14389.4082, 70.3705, 44.1521, 571.1926, 0.0315, -0.0377, 0.0049, 70.3705, 44.1521, 571.1926, 0.0315, -0.0377, 0.0049, 4916
14389.4249, 70.2238, 43.8447, 569.6750, 0.0383, -0.0354, 0.0054, 70.2238, 43.8447, 569.6750, 0.0383, -0.0354, 0.0054, 4917
14389.4416, 70.3262, 44.3645, 571.4834, 0.0218, -0.0375, 0.0078, 70.3262, 44.3645, 571.4834, 0.0218, -0.0375, 0.0078, 4918
14389.4583, 70.2988, 44.2234, 571.2704, 0.0231, -0.0316, 0.0083, 70.2988, 44.2234, 571.2704, 0.0231, -0.0316, 0.0083, 4919
14389.4749, 70.2250, 44.2660, 570.4276, 0.0312, -0.0262, 0.0136, 70.2250, 44.2660, 570.4276, 0.0312, -0.0262, 0.0136, 4920
14389.4916, 69.9238, 43.9689, 568.3897, 0.0321, -0.0269, 0.0034, 69.9238, 43.9689, 568.3897, 0.0321, -0.0269, 0.0034, 4921
14389.5083, 70.3805, 44.0353, 568.7404, 0.0426, -0.0273, 0.0018, 70.3805, 44.0353, 568.7404, 0.0426, -0.0273, 0.0018, 4922
14389.5249, 69.9322, 43.9849, 569.2177, 0.0288, -0.0293, 0.0085, 69.9322, 43.9849, 569.2177, 0.0288, -0.0293, 0.0085, 4923
14389.5416, 70.2111, 44.3747, 571.3018, 0.0153, -0.0394, 0.0084, 70.2111, 44.3747, 571.3018, 0.0153, -0.0394, 0.0084, 4924
14389.5583, 70.2070, 44.3087, 571.0076, 0.0109, -0.0305, 0.0094, 70.2070, 44.3087, 571.0076, 0.0109, -0.0305, 0.0094, 4925
14389.5750, 70.4989, 44.3666, 571.8912, 0.0306, -0.0378, 0.0084, 70.4989, 44.3666, 571.8912, 0.0306, -0.0378, 0.0084, 4926
14389.5917, 70.3468, 44.2061, 571.4737, 0.0309, -0.0269, 0.0119, 70.3468, 44.2061, 571.4737, 0.0309, -0.0269, 0.0119, 4927
14389.6084, 70.5428, 44.4851, 571.1649, 0.0110, -0.0341, 0.0131, 70.5428, 44.4851, 571.1649, 0.0110, -0.0341, 0.0131, 4928
14389.6250, 70.3204, 44.2212, 569.5794, 0.0152, -0.0266, 0.0112, 70.3204, 44.2212, 569.5794, 0.0152, -0.0266, 0.0112, 4929
